kalshi_ticker,kalshi_title,polymarket_id,polymarket_question,match_confidence,llm_verified,kalshi_yes_price,polymarket_yes_price,close_time_kalshi
KXPRESNOMD-28-AOC,Will Alexandria Ocasio-Cortez be the Democratic Presidential nominee in 2028?,559653,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,0.841,False,0.18,0.198,2028-11-07T15:00:00Z
KXPRESNOMD-28-CMUR,Will Chris Murphy be the Democratic Presidential nominee in 2028?,559691,Will Chris Murphy win the 2028 Democratic presidential nomination?,0.837,False,0.007,0.003,2028-11-07T15:00:00Z
KXPRESNOMD-28-WM,Will Wes Moore be the Democratic Presidential nominee in 2028?,559656,Will Wes Moore win the 2028 Democratic presidential nomination?,0.837,False,0.024,0.0175,2028-11-07T15:00:00Z
KXPRESNOMD-28-MC,Will Mark Cuban be the Democratic Presidential nominee in 2028?,559662,Will Mark Cuban win the 2028 Democratic presidential nomination?,0.837,False,0.007,0.0055,2028-11-07T15:00:00Z
KXPRESNOMD-28-JSTE,Will Jon Stewart be the Democratic Presidential nominee in 2028?,559675,Will Jon Stewart win the 2028 Democratic presidential nomination?,0.837,False,0.009,0.0065,2028-11-07T15:00:00Z
KXPRESNOMD-28-SAS,Will Stephen A. Smith be the Democratic Presidential nominee in 2028?,559657,Will Stephen A. Smith win the 2028 Democratic presidential nomination?,0.836,False,0.006,0.0035,2028-11-07T15:00:00Z
KXPRESNOMD-28-KH,Will Kamala Harris be the Democratic Presidential nominee in 2028?,559658,Will Kamala Harris win the 2028 Democratic presidential nomination?,0.835,False,0.089,0.0755,2028-11-07T15:00:00Z
KXPRESNOMD-28-JS,Will Josh Shapiro be the Democratic Presidential nominee in 2028?,559655,Will Josh Shapiro win the 2028 Democratic presidential nomination?,0.835,False,0.046,0.05,2028-11-07T15:00:00Z
KXPRESNOMD-28-GN,Will Gavin Newsom be the Democratic Presidential nominee in 2028?,559652,Will Gavin Newsom win the 2028 Democratic presidential nomination?,0.835,False,0.16,0.1565,2028-11-07T15:00:00Z
KXPRESNOMD-28-MK,Will Mark Kelly be the Democratic Presidential nominee in 2028?,559668,Will Mark Kelly win the 2028 Democratic presidential nomination?,0.835,False,0.052,0.0285,2028-11-07T15:00:00Z
